x,y,z
1.296901e+01,2.474691e+01,1.462116e+01
1.308694e+01,2.489454e+01,1.490516e+01
1.320516e+01,2.503982e+01,1.519325e+01
1.332363e+01,2.518265e+01,1.548543e+01
1.344233e+01,2.532290e+01,1.578171e+01
1.356123e+01,2.546045e+01,1.608206e+01
1.368030e+01,2.559518e+01,1.638648e+01
1.379952e+01,2.572697e+01,1.669496e+01
1.391884e+01,2.585569e+01,1.700747e+01
1.403824e+01,2.598122e+01,1.732401e+01
1.415769e+01,2.610343e+01,1.764453e+01
1.427715e+01,2.622219e+01,1.796902e+01
1.439658e+01,2.633737e+01,1.829744e+01
1.451595e+01,2.644884e+01,1.862976e+01
1.463522e+01,2.655646e+01,1.896593e+01
1.475436e+01,2.666011e+01,1.930591e+01
1.487333e+01,2.675965e+01,1.964965e+01
1.499207e+01,2.685494e+01,1.999710e+01
1.511057e+01,2.694585e+01,2.034820e+01
1.522877e+01,2.703225e+01,2.070289e+01
1.534662e+01,2.711400e+01,2.106110e+01
1.546410e+01,2.719096e+01,2.142276e+01
1.558115e+01,2.726299e+01,2.178779e+01
1.569772e+01,2.732997e+01,2.215611e+01
1.581378e+01,2.739176e+01,2.252763e+01
1.592926e+01,2.744822e+01,2.290226e+01
1.604414e+01,2.749923e+01,2.327991e+01
1.615835e+01,2.754464e+01,2.366047e+01
1.627185e+01,2.758433e+01,2.404384e+01
1.638458e+01,2.761818e+01,2.442989e+01
1.649650e+01,2.764604e+01,2.481853e+01
1.660756e+01,2.766781e+01,2.520961e+01
1.671769e+01,2.768335e+01,2.560302e+01
1.682685e+01,2.769255e+01,2.599862e+01
1.693499e+01,2.769528e+01,2.639627e+01
1.704204e+01,2.769144e+01,2.679583e+01
1.714796e+01,2.768090e+01,2.719715e+01
1.725268e+01,2.766357e+01,2.760007e+01
1.735615e+01,2.763934e+01,2.800443e+01
1.745832e+01,2.760811e+01,2.841008e+01
1.755913e+01,2.756978e+01,2.881684e+01
1.765852e+01,2.752425e+01,2.922453e+01
1.775643e+01,2.747145e+01,2.963299e+01
1.785280e+01,2.741129e+01,3.004202e+01
1.794758e+01,2.734369e+01,3.045144e+01
1.804070e+01,2.726859e+01,3.086105e+01
1.813211e+01,2.718590e+01,3.127067e+01
1.822176e+01,2.709559e+01,3.168009e+01
1.830957e+01,2.699758e+01,3.208910e+01
1.839550e+01,2.689184e+01,3.249750e+01
1.847948e+01,2.677832e+01,3.290509e+01
1.856146e+01,2.665698e+01,3.331164e+01
1.864137e+01,2.652781e+01,3.371694e+01
1.871917e+01,2.639078e+01,3.412077e+01
1.879478e+01,2.624588e+01,3.452291e+01
1.886817e+01,2.609309e+01,3.492314e+01
1.893926e+01,2.593244e+01,3.532124e+01
1.900801e+01,2.576392e+01,3.571697e+01
1.907436e+01,2.558755e+01,3.611011e+01
1.913826e+01,2.540336e+01,3.650044e+01
1.919965e+01,2.521139e+01,3.688772e+01
1.925848e+01,2.501167e+01,3.727173e+01
1.931469e+01,2.480426e+01,3.765223e+01
1.936825e+01,2.458922e+01,3.802901e+01
1.941910e+01,2.436662e+01,3.840184e+01
1.946719e+01,2.413653e+01,3.877049e+01
1.951247e+01,2.389904e+01,3.913473e+01
1.955490e+01,2.365423e+01,3.949435e+01
1.959444e+01,2.340222e+01,3.984913e+01
1.963104e+01,2.314311e+01,4.019886e+01
1.966467e+01,2.287702e+01,4.054332e+01
1.969528e+01,2.260408e+01,4.088230e+01
1.972283e+01,2.232442e+01,4.121560e+01
1.974730e+01,2.203818e+01,4.154302e+01
1.976864e+01,2.174552e+01,4.186436e+01
1.978683e+01,2.144659e+01,4.217944e+01
1.980183e+01,2.114155e+01,4.248806e+01
1.981361e+01,2.083058e+01,4.279006e+01
1.982216e+01,2.051386e+01,4.308525e+01
1.982744e+01,2.019157e+01,4.337347e+01
1.982943e+01,1.986391e+01,4.365457e+01
1.982812e+01,1.953107e+01,4.392838e+01
1.982349e+01,1.919326e+01,4.419476e+01
1.981551e+01,1.885068e+01,4.445358e+01
1.980419e+01,1.850355e+01,4.470471e+01
1.978950e+01,1.815210e+01,4.494801e+01
1.977143e+01,1.779654e+01,4.518339e+01
1.975000e+01,1.743710e+01,4.541073e+01
1.972518e+01,1.707402e+01,4.562993e+01
1.969697e+01,1.670753e+01,4.584092e+01
1.966539e+01,1.633786e+01,4.604360e+01
1.963042e+01,1.596526e+01,4.623791e+01
1.959209e+01,1.558998e+01,4.642379e+01
1.955038e+01,1.521224e+01,4.660118e+01
1.950533e+01,1.483231e+01,4.677005e+01
1.945693e+01,1.445043e+01,4.693035e+01
1.940520e+01,1.406684e+01,4.708207e+01
1.935017e+01,1.368180e+01,4.722518e+01
1.929184e+01,1.329554e+01,4.735969e+01
1.923025e+01,1.290832e+01,4.748559e+01
1.916541e+01,1.252038e+01,4.760290e+01
1.909736e+01,1.213196e+01,4.771163e+01
1.902611e+01,1.174331e+01,4.781182e+01
1.895171e+01,1.135467e+01,4.790351e+01
1.887419e+01,1.096627e+01,4.798674e+01
1.879357e+01,1.057835e+01,4.806156e+01
1.870989e+01,1.019114e+01,4.812804e+01
1.862320e+01,9.804856e+00,4.818625e+01
1.853354e+01,9.419735e+00,4.823627e+01
1.844094e+01,9.035990e+00,4.827818e+01
1.834546e+01,8.653836e+00,4.831208e+01
1.824713e+01,8.273482e+00,4.833807e+01
1.814600e+01,7.895133e+00,4.835625e+01
1.804212e+01,7.518988e+00,4.836674e+01
1.793555e+01,7.145241e+00,4.836965e+01
1.782634e+01,6.774078e+00,4.836512e+01
1.771453e+01,6.405681e+00,4.835326e+01
1.760018e+01,6.040227e+00,4.833423e+01
1.748335e+01,5.677884e+00,4.830815e+01
1.736409e+01,5.318816e+00,4.827517e+01
1.724246e+01,4.963178e+00,4.823544e+01
1.711852e+01,4.611121e+00,4.818912e+01
1.699233e+01,4.262786e+00,4.813636e+01
1.686395e+01,3.918312e+00,4.807731e+01
1.673344e+01,3.577826e+00,4.801216e+01
1.660086e+01,3.241452e+00,4.794104e+01
1.646627e+01,2.909304e+00,4.786415e+01
1.632974e+01,2.581491e+00,4.778164e+01
1.619133e+01,2.258115e+00,4.769368e+01
1.605110e+01,1.939272e+00,4.760045e+01
1.590911e+01,1.625048e+00,4.750212e+01
1.576544e+01,1.315525e+00,4.739887e+01
1.562014e+01,1.010777e+00,4.729087e+01
1.547327e+01,7.108725e-01,4.717829e+01
1.532491e+01,4.158728e-01,4.706131e+01
1.517511e+01,1.258324e-01,4.694010e+01
1.502394e+01,-1.592000e-01,4.681484e+01
1.487147e+01,-4.391822e-01,4.668569e+01
1.471775e+01,-7.140781e-01,4.655284e+01
1.456285e+01,-9.838572e-01,4.641645e+01
1.440684e+01,-1.248495e+00,4.627669e+01
1.424977e+01,-1.507973e+00,4.613372e+01
1.409171e+01,-1.762278e+00,4.598772e+01
1.393271e+01,-2.011402e+00,4.583884e+01
1.377284e+01,-2.255342e+00,4.568725e+01
1.361217e+01,-2.494101e+00,4.553310e+01
1.345074e+01,-2.727684e+00,4.537656e+01
1.328862e+01,-2.956105e+00,4.521777e+01
1.312586e+01,-3.179379e+00,4.505688e+01
1.296253e+01,-3.397526e+00,4.489405e+01
1.279868e+01,-3.610572e+00,4.472941e+01
1.263436e+01,-3.818544e+00,4.456312e+01
1.246964e+01,-4.021475e+00,4.439530e+01
1.230456e+01,-4.219401e+00,4.422609e+01
1.213918e+01,-4.412360e+00,4.405563e+01
1.197355e+01,-4.600395e+00,4.388405e+01
1.180772e+01,-4.783551e+00,4.371146e+01
1.164174e+01,-4.961877e+00,4.353799e+01
1.147566e+01,-5.135423e+00,4.336377e+01
1.130953e+01,-5.304243e+00,4.318889e+01
1.114340e+01,-5.468392e+00,4.301349e+01
1.097731e+01,-5.627929e+00,4.283765e+01
1.081131e+01,-5.782912e+00,4.266149e+01
1.064544e+01,-5.933404e+00,4.248511e+01
1.047975e+01,-6.079467e+00,4.230861e+01
1.031427e+01,-6.221168e+00,4.213208e+01
1.014905e+01,-6.358571e+00,4.195560e+01
9.984132e+00,-6.491746e+00,4.177927e+01
9.819548e+00,-6.620759e+00,4.160318e+01
9.655338e+00,-6.745682e+00,4.142739e+01
9.491539e+00,-6.866583e+00,4.125199e+01
9.328187e+00,-6.983536e+00,4.107706e+01
9.165316e+00,-7.096611e+00,4.090265e+01
9.002960e+00,-7.205881e+00,4.072885e+01
8.841150e+00,-7.311418e+00,4.055570e+01
8.679918e+00,-7.413296e+00,4.038329e+01
8.519296e+00,-7.511588e+00,4.021165e+01
8.359310e+00,-7.606366e+00,4.004085e+01
8.199991e+00,-7.697706e+00,3.987095e+01
8.041365e+00,-7.785679e+00,3.970198e+01
7.883459e+00,-7.870359e+00,3.953400e+01
7.726297e+00,-7.951818e+00,3.936706e+01
7.569905e+00,-8.030130e+00,3.920118e+01
7.414304e+00,-8.105365e+00,3.903642e+01
7.259518e+00,-8.177597e+00,3.887281e+01
7.105569e+00,-8.246897e+00,3.871038e+01
6.952476e+00,-8.313334e+00,3.854917e+01
6.800259e+00,-8.376979e+00,3.838920e+01
6.648937e+00,-8.437901e+00,3.823050e+01
6.498528e+00,-8.496170e+00,3.807311e+01
6.349049e+00,-8.551852e+00,3.791703e+01
6.200515e+00,-8.605016e+00,3.776230e+01
6.052943e+00,-8.655727e+00,3.760892e+01
5.906347e+00,-8.704051e+00,3.745693e+01
5.760740e+00,-8.750052e+00,3.730634e+01
5.616135e+00,-8.793794e+00,3.715716e+01
5.472545e+00,-8.835341e+00,3.700940e+01
5.329981e+00,-8.874753e+00,3.686308e+01
5.188454e+00,-8.912091e+00,3.671820e+01
5.047973e+00,-8.947416e+00,3.657477e+01
4.908549e+00,-8.980786e+00,3.643280e+01
4.770189e+00,-9.012259e+00,3.629230e+01
4.632903e+00,-9.041892e+00,3.615326e+01
4.496696e+00,-9.069741e+00,3.601570e+01
4.361576e+00,-9.095859e+00,3.587961e+01
4.227549e+00,-9.120302e+00,3.574500e+01
4.094621e+00,-9.143121e+00,3.561186e+01
3.962796e+00,-9.164368e+00,3.548019e+01
3.832079e+00,-9.184093e+00,3.535000e+01
3.702474e+00,-9.202347e+00,3.522127e+01
3.573983e+00,-9.219178e+00,3.509400e+01
3.446611e+00,-9.234632e+00,3.496820e+01
3.320359e+00,-9.248757e+00,3.484385e+01
3.195229e+00,-9.261598e+00,3.472094e+01
3.071223e+00,-9.273199e+00,3.459948e+01
2.948341e+00,-9.283603e+00,3.447945e+01
2.826584e+00,-9.292853e+00,3.436085e+01
2.705952e+00,-9.300990e+00,3.424366e+01
2.586445e+00,-9.308054e+00,3.412787e+01
2.468062e+00,-9.314085e+00,3.401349e+01
2.350802e+00,-9.319122e+00,3.390049e+01
2.234663e+00,-9.323201e+00,3.378887e+01
2.119644e+00,-9.326360e+00,3.367861e+01
2.005742e+00,-9.328633e+00,3.356971e+01
1.892956e+00,-9.330057e+00,3.346215e+01
1.781281e+00,-9.330664e+00,3.335592e+01
1.670716e+00,-9.330487e+00,3.325100e+01
1.561256e+00,-9.329559e+00,3.314740e+01
1.452898e+00,-9.327911e+00,3.304508e+01
1.345638e+00,-9.325573e+00,3.294405e+01
1.239472e+00,-9.322575e+00,3.284428e+01
1.134396e+00,-9.318946e+00,3.274576e+01
1.030404e+00,-9.314714e+00,3.264849e+01
9.274917e-01,-9.309905e+00,3.255244e+01
8.256542e-01,-9.304547e+00,3.245760e+01
7.248859e-01,-9.298666e+00,3.236396e+01
6.251813e-01,-9.292285e+00,3.227151e+01
5.265346e-01,-9.285430e+00,3.218022e+01
4.289400e-01,-9.278124e+00,3.209009e+01
3.323913e-01,-9.270390e+00,3.200111e+01
2.368823e-01,-9.262250e+00,3.191325e+01
1.424065e-01,-9.253727e+00,3.182651e+01
4.895738e-02,-9.244840e+00,3.174087e+01
-4.347173e-02,-9.235610e+00,3.165632e+01
-1.348877e-01,-9.226057e+00,3.157284e+01
-2.252975e-01,-9.216200e+00,3.149041e+01
